observed_at_utc,paper_id,title,authors,venue,year,citations
2026-08-07T13:40:58Z,f2IySw72cVMC,Coordination of movement via complementary interactions of leaders and followers in termite mating pairs,"N Mizumoto, SB Lee, G Valentini, T Chouvenc, SC Pratt","Proceedings of the Royal Society B: Biological Sciences 288 (1954), 20210998, 2021",2021,37
2026-08-07T13:40:58Z,dfsIfKJdRG4C,Modern termites inherited the potential of collective construction from their common ancestor,"N Mizumoto, T Bourguignon","Ecology and Evolution 10 (13), 6775-6784, 2020",2020,36
2026-08-07T13:40:58Z,M3NEmzRMIkIC,Male same-sex pairing as an adaptive strategy for future reproduction in termites,"N Mizumoto, T Yashiro, K Matsuura","Animal Behaviour 119, 179-187, 2016",2016,36
2026-08-07T13:40:58Z,1sJd4Hv_s6UC,Ancestral sex-role plasticity facilitates the evolution of same-sex sexual behavior,"N Mizumoto, T Bourguignon, NW Bailey","Proceedings of the National Academy of Sciences 119 (46), e2212401119, 2022",2022,32
2026-08-07T13:40:58Z,ZHo1McVdvXMC,Revealing the structure of information flows discriminates similar animal social behaviors,"G Valentini, N Mizumoto, SC Pratt, TP Pavlic, SI Walker","Elife 9, e55395, 2020",2020,32
2026-08-07T13:40:58Z,hMod-77fHWUC,Optimizing mating encounters by sexually dimorphic movements,"N Mizumoto, MS Abe, S Dobata","Journal of The Royal Society Interface 14 (130), 20170086, 2017",2017,30
2026-08-07T13:40:58Z,yD5IFk8b50cC,Termite males enhance mating encounters by changing speed according to density,"N Mizumoto, A Rizo, SC Pratt, T Chouvenc","Journal of Animal Ecology 89 (11), 2542-2552, 2020",2020,29
2026-08-07T13:40:58Z,u5HHmVD_uO8C,Colony-specific architecture of shelter tubes by termites,"N Mizumoto, K Matsuura","Insectes sociaux 60 (4), 525-530, 2013",2013,29
2026-08-07T13:40:58Z,u-x6o8ySG0sC,Emergence of intercolonial variation in termite shelter tube patterns and prediction of its underlying mechanism,"N Mizumoto, K Kobayashi, K Matsuura","Royal Society Open Science 2 (11), 150360, 2015",2015,27
2026-08-07T13:40:58Z,EUQCXRtRnyEC,The evolution of body size in termites,"N Mizumoto, T Bourguignon","Proceedings of the Royal Society B: Biological Sciences 288 (1963), 20211458, 2021",2021,25
2026-08-07T13:40:58Z,CHSYGLWDkRkC,Age-based spatial distribution of workers is resilient to worker loss in a subterranean termite,"SB Lee, T Chouvenc, N Mizumoto, A Mullins, NY Su","Scientific reports 12 (1), 7837, 2022",2022,24
2026-08-07T13:40:58Z,vV6vV6tmYwMC,Loss of males from mixed-sex societies in termites,"T Yashiro, N Lo, K Kobayashi, T Nozaki, T Fuchikawa, N Mizumoto, ...","BMC biology 16 (1), 96, 2018",2018,24
2026-08-07T13:40:58Z,70eg2SAEIzsC,Inferring collective behaviour from a fossilized fish shoal,"N Mizumoto, S Miyata, SC Pratt","Proceedings of the Royal Society B: Biological Sciences 286 (1903), 20190891, 2019",2019,23
2026-08-07T13:40:58Z,BqipwSGYUEgC,Nature of collective decision-making by simple yes/no decision units,"E Hasegawa, N Mizumoto, K Kobayashi, S Dobata, J Yoshimura, ...","Scientific reports 7 (1), 14436, 2017",2017,19
2026-08-07T13:40:58Z,a0OBvERweLwC,Behavioral rules for soil excavation by colony founders and workers in termites,"N Mizumoto, GH Gile, SC Pratt","Annals of the Entomological Society of America 114 (5), 654-661, 2021",2021,17
2026-08-07T13:40:58Z,b0M2c_1WBrUC,Enhanced heterozygosity from male meiotic chromosome chains is superseded by hybrid female asexuality in termites,"T Yashiro, YK Tea, C Van Der Wal, T Nozaki, N Mizumoto, S Hellemans, ...","Proceedings of the National Academy of Sciences 118 (51), e2009533118, 2021",2021,16
2026-08-07T13:40:58Z,RGFaLdJalmkC,The optimal movement patterns for mating encounters with sexually asymmetric detection ranges,"N Mizumoto, S Dobata","Scientific Reports 8 (1), 3356, 2018",2018,15
2026-08-07T13:40:58Z,NhqRSupF_l8C,Termite nest evolution fostered social parasitism by termitophilous rove beetles,"N Mizumoto, T Bourguignon, T Kanao","Evolution 76 (5), 1064-1072, 2022",2022,14
2026-08-07T13:40:58Z,nb7KW1ujOQ8C,Light alters activity but does not disturb tandem coordination of termite mating pairs,"N Mizumoto, T Bourguignon","Ecological Entomology 48 (2), 145-153, 2023",2023,13
2026-08-07T13:40:58Z,SeFeTyx0c_EC,Caste‐biased locomotor activities in isolated termites,"H Shimoji, N Mizumoto, K Oguchi, S Dobata","Physiological Entomology 45 (1), 50-59, 2020",2020,13
2026-08-07T13:40:58Z,tS2w5q8j5-wC,Ant and termite collective behavior: group‐level similarity arising from individual‐level diversity,"N Mizumoto, CR Reid","Ecological Research 39 (5), 646-658, 2024",2024,10
2026-08-07T13:40:58Z,B3FOqHPlNUQC,The strength of sexual signals predicts same-sex pairing in two Coptotermes termites,"N Mizumoto, SB Lee, T Chouvenc","Behavioral Ecology 35 (5), arae067, 2024",2024,9
2026-08-07T13:40:58Z,dshw04ExmUIC,Functional and mechanistic diversity in ant tandem communication,"N Mizumoto, Y Tanaka, G Valentini, TO Richardson, S Annagiri, SC Pratt, ...","IScience 26 (4), 2023",2023,9
2026-08-07T13:40:58Z,D03iK_w7-QYC,Spirotrichonymphea (Parabasalia) symbionts of the termite Paraneotermes simplicicornis,"SJ Taerum, DE Jasso-Selles, JT Hileman, F De Martini, N Mizumoto, ...","European Journal of Protistology 76, 125742, 2020",2020,9
2026-08-07T13:40:58Z,YFjsv_pBGBYC,Pairing strategy after today's failure: unpaired termites synchronize mate search using photic cycles,"N Mizumoto, T Fuchikawa, K Matsuura","Population Ecology 59 (3), 205-211, 2017",2017,9
2026-08-07T13:40:58Z,uWQEDVKXjbEC,Extinct and extant termites reveal the fidelity of behavior fossilization in amber,"N Mizumoto, S Hellemans, MS Engel, T Bourguignon, A Buček","Proceedings of the National Academy of Sciences 121 (12), e2308922121, 2024",2024,8
2026-08-07T13:40:58Z,M05iB0D1s5AC,"Molecular Phylogenetic Position of Hoplonympha natator (Trichonymphea, Parabasalia): Horizontal Symbiont Transfer or Differential Loss?","ED Mee, MG Gaylor, DE Jasso‐Selles, N Mizumoto, GH Gile","Journal of Eukaryotic Microbiology 67 (2), 268-272, 2020",2020,7
2026-08-07T13:40:58Z,D_sINldO8mEC,Maintaining tandem movement cohesion through antennal movements in termites,"N Mizumoto, S Reiter","Journal of The Royal Society Interface 22 (232), 20250487, 2025",2025,6
2026-08-07T13:40:58Z,WbkHhVStYXYC,Wasted efforts impair random search efficiency and reduce choosiness in mate-pairing termites,"N Mizumoto, N Nagaya, R Fujisawa","The American Naturalist 204 (6), 589-599, 2024",2024,6
2026-08-07T13:40:58Z,XiSMed-E-HIC,The significance of social interactions in synchronized swarming flight in a termite,"N Mizumoto, T Nozaki","Biology Letters 20 (11), 20240423, 2024",2024,6
2026-08-07T13:40:58Z,sSrBHYA8nusC,Subterranean termites (Coptotermes formosanus [Blattodea: Rhinotermitidae]) colonies can readily intercept commercial inground bait stations placed at label …,"K Gazdick, SB Lee, N Mizumoto, T Chouvenc, NY Su","Journal of Economic Entomology 118 (3), 1363-1372, 2025",2025,5
2026-08-07T13:40:58Z,olpn-zPbct0C,"More individuals or more groups? Incorporating sampling effort, statistical power, and model accuracy when designing experiments","CM Lynch, M Starkey, D Montgomery, TP Pavlic, N Mizumoto","Behavioral Ecology and Sociobiology 79 (11), 106, 2025",2025,2
2026-08-07T13:40:58Z,wbdj-CoPYUoC,Intragenomic 18S Sequence Variability in the Termite Symbionts Kofoidia loriculata and Kofoidia repleta n. sp. (Parabasalia),"E Mirza, DE Jasso‐Selles, N Mizumoto, GH Gile","Journal of Eukaryotic Microbiology 72 (5), e70039, 2025",2025,2
2026-08-07T13:40:58Z,J-pR_7NvFogC,"Observation of tandem running behavior in dealates of Asian dampwood termite, Hodotermopsis sjostedti","N Mizumoto, W Chambliss, EP Carroll, T Nakazono, T Kanao","Journal of Ethology 43 (3), 239-245, 2025",2025,2
2026-08-07T13:40:58Z,KxtntwgDAa4C,TManual: Assistant for manually measuring length development in structures built by animals,N Mizumoto,"Ecology and Evolution 13 (8), e10394, 2023",2023,2
2026-08-07T13:40:58Z,kRWSkSYxWN8C,Evaluating mate encounter and walking dispersal dynamics of termites using posture tracking and behavioral simulation,N Mizumoto,"Journal of Pest Science 99 (2), 57, 2026",2026,1
2026-08-07T13:40:58Z,5ugPr518TE4C,Variation in soldier investment is linked to the evolution of termite soldier defense strategies,"A Satoh, I Planas-Sitjà, AL Cronin, N Mizumoto","Evolutionary Ecology 40 (2), 21, 2026",2026,1
2026-08-07T13:40:58Z,Mojj43d5GZwC,Loss of pair formation predates the evolution of male-less society in termites,"N Mizumoto, T Yashiro, S Hellemans","Evolution 80 (2), 460-471, 2026",2026,1
2026-08-07T13:40:58Z,tkaPQYYpVKoC,Nesting strategy reflects individual worker movement in termites,"K Kikuchi, T Bourguignon, N Mizumoto","Movement Ecology 13 (1), 88, 2025",2025,1
2026-08-07T13:40:58Z,geHnlv5EZngC,Predation-driven geographical isolation of broods in periodical cicadas,"DCN Cuaresma, MKA Gavina, JF Rabajante, JM Tubay, T Okabe, ...","Scientific Reports 14 (1), 27071, 2024",2024,1
2026-08-07T13:40:58Z,3s1wT3WcHBgC,オスとメスの相互探索の最適化が生み出す動きのパターンの性差,水元惟暁,"動物心理学研究 69 (1), 17-25, 2019",2019,1
2026-08-07T13:40:58Z,lSLTfruPkqcC,Barricade construction by primitive termites: Task allocation and evolutionary perspectives,N Mizumoto,"Artificial Life and Robotics 23 (4), 469-473, 2018",2018,1
2026-08-07T13:40:58Z,5awf1xo2G04C,Beyond mistakes: same-sex partner acceptance and broad mating filters coexist in termite pairing,"N Mizumoto, EP Carroll","EcoEvoRxiv, 2026",2026,0
